                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.47845,                0.65923,                 0.5576,                0.88034,                0.78238,                0.63855,                0.69856,                0.60013,                0.76942,                0.60306,                0.66316,                0.51346,                0.78404,                 2.9733,                 1.3011,                 1.0595,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.4604,                0.57079,                0.57818,                0.86844,                0.72608,                0.66265,                0.70134,                0.60259,                0.73418,                 0.6506,                0.67047,                 0.5074,                0.79251,                 3.0333,                 1.2983,                  1.075,              0.0006536,              0.0006536,              0.0006536
                     71,                0.44206,                 0.5099,                0.62311,                0.89697,                0.71715,                0.67209,                0.71995,                0.62083,                0.70282,                0.66265,                0.68301,                0.52309,                 0.7759,                 3.0566,                 1.1939,                 1.0661,              0.0006338,              0.0006338,              0.0006338
                     72,                0.47619,                0.65431,                0.56831,                0.86356,                0.89405,                0.63855,                0.75823,                0.65239,                0.78902,                0.67586,                0.71444,                0.54545,                0.74909,                 2.9737,                 1.0695,                 1.0434,               0.000614,               0.000614,               0.000614
                     73,                0.45096,                0.56111,                0.53598,                0.86734,                 0.8353,                0.72289,                0.78193,                0.66715,                0.84396,                0.71686,                0.75597,                0.56892,                0.71596,                 2.8263,                0.98736,                 1.0178,              0.0005942,              0.0005942,              0.0005942
                     74,                0.41665,                0.49069,                0.54807,                  0.883,                0.89004,                 0.6988,                0.78873,                0.67807,                0.87637,                0.71084,                0.76287,                0.57532,                0.71692,                 2.6527,                0.97715,                 1.0177,              0.0005744,              0.0005744,              0.0005744
                     75,                0.46493,                0.60073,                0.55612,                0.88223,                0.85546,                0.71308,                 0.7839,                0.67118,                0.86991,                0.72513,                0.76046,                0.57038,                0.72693,                 2.7503,                0.99742,                 1.0174,              0.0005546,              0.0005546,              0.0005546
                     76,                0.44156,                0.53893,                0.51819,                0.85713,                0.84389,                 0.6988,                0.76396,                0.66437,                0.84127,                 0.6988,                0.73491,                0.56131,                0.73298,                 2.8505,                 1.0416,                 1.0167,              0.0005348,              0.0005348,              0.0005348
                     77,                0.41131,                0.51494,                0.48514,                0.86373,                0.88496,                0.68675,                0.74951,                0.64671,                0.86943,                 0.6747,                0.71841,                0.54997,                0.75273,                 2.9879,                  1.095,                 1.0272,               0.000515,               0.000515,               0.000515
                     78,                0.43091,                0.57371,                0.51759,                0.87678,                0.90563,                0.69376,                0.74937,                0.65023,                0.83351,                0.66352,                0.71403,                0.55086,                0.77379,                 2.7843,                 1.1229,                 1.0399,              0.0004952,              0.0004952,              0.0004952
